Age,lx,mx
0,1,0
1,0.884,0
2,0.823,0
3,0.797,0
4,0.77,0
5,0.734,0
6,0.709,0
7,0.684,0
8,0.653,0
9,0.653,0
10,0.644,0
11,0.638,0
12,0.635,0.006
13,0.632,0.012
14,0.622,0.026
15,0.609,0.088
16,0.605,0.091
17,0.598,0.137
18,0.591,0.173
19,0.588,0.279
20,0.588,0.26
21,0.584,0.311
22,0.572,0.277
23,0.572,0.333
24,0.555,0.184
25,0.555,0.33
26,0.555,0.333
27,0.555,0.304
28,0.555,0.24
29,0.555,0.271
30,0.544,0.354
31,0.544,0.361
32,0.532,0.224
33,0.519,0.255
34,0.504,0.396
35,0.504,0.234
36,0.504,0.391
37,0.504,0.261
38,0.504,0.25
39,0.497,0.256
40,0.497,0.214
41,0.497,0.214
42,0.489,0.225
43,0.481,0.306
44,0.463,0.125
45,0.463,0.194
46,0.463,0.037
47,0.452,0.038
48,0.43,0.042
49,0.419,0
50,0.419,0
51,0.409,0
52,0.398,0
53,0.398,0
54,0.398,0
55,0.398,0
56,0.373,0
57,0.361,0
58,0.347,0
59,0.347,0
60,0.347,0
61,0.332,0
62,0.332,0
63,0.315,0
64,0.28,0
65,0.28,0
66,0.28,0
67,0.28,0
68,0.28,0
69,0.249,0
70,0.249,0
71,0.207,0
72,0.207,0
73,0.207,0
74,0.138,0
75,0.138,0
76,0.138,0
77,0.138,0
78,0,0
