Age,lx,mx
0,1,0
1,0.79,0
2,0.7556,0
3,0.7137,0
4,0.6673,0
5,0.6383,0
6,0.5958,0
7,0.5907,0
8,0.5862,0
9,0.5784,0
10,0.5748,0
11,0.5716,0
12,0.5568,0
13,0.548,0
14,0.5387,0.033
15,0.5387,0.075
16,0.5323,0.114
17,0.5258,0.147
18,0.5258,0.177
19,0.5192,0.202
20,0.5126,0.224
21,0.5058,0.242
22,0.5023,0.256
23,0.4915,0.268
24,0.4878,0.276
25,0.4878,0.281
26,0.4804,0.283
27,0.4767,0.283
28,0.4767,0.281
29,0.4767,0.276
30,0.4725,0.269
31,0.4725,0.261
32,0.4725,0.251
33,0.4725,0.239
34,0.4725,0.226
35,0.4633,0.212
36,0.4633,0.197
37,0.4584,0.182
38,0.4483,0.165
39,0.4432,0.149
40,0.4383,0.132
41,0.4331,0.115
42,0.4178,0.098
43,0.4178,0.081
44,0.4178,0.065
45,0.4178,0.05
46,0.4007,0.036
47,0.3949,0.023
48,0.3889,0.01
49,0.3889,0
50,0.3889,0
51,0.3704,0
52,0.3642,0
53,0.3576,0
54,0.3511,0
55,0.3511,0
56,0.3308,0
57,0.3167,0
58,0.3029,0
59,0.3029,0
60,0.2908,0
61,0.2782,0
62,0.2578,0
63,0.2511,0
64,0.2511,0
65,0.2511,0
66,0.2449,0
67,0.2391,0
68,0.2271,0
69,0.2152,0
70,0.2152,0
71,0.2092,0
72,0.2037,0
73,0.188,0
74,0.1773,0
75,0.1504,0
76,0.1236,0
77,0.1171,0
78,0.1171,0
79,0.0858,0
80,0.078,0
81,0.0683,0
82,0.0585,0
83,0.0585,0
84,0.039,0
 , ,
 , , 
