Life tables (period 5x10), Total 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
AUS      1921-1929        0      0.05800  0.05556  0.24  100000    5556   95787  6254737  62.55
AUS      1921-1929      1-4      0.00513  0.02024  1.37   94444    1912  372742  6158951  65.21
AUS      1921-1929      5-9      0.00160  0.00795  2.28   92533     735  460660  5786209  62.53
AUS      1921-1929     10-14     0.00127  0.00634  2.58   91797     582  457580  5325548  58.01
AUS      1921-1929     15-19     0.00198  0.00984  2.74   91215     898  454043  4867968  53.37
AUS      1921-1929     20-24     0.00286  0.01421  2.60   90318    1284  448511  4413925  48.87
AUS      1921-1929     25-29     0.00335  0.01660  2.55   89034    1478  441548  3965414  44.54
AUS      1921-1929     30-34     0.00380  0.01882  2.57   87555    1648  433770  3523867  40.25
AUS      1921-1929     35-39     0.00482  0.02384  2.59   85908    2048  424594  3090097  35.97
AUS      1921-1929     40-44     0.00592  0.02917  2.57   83859    2447  413352  2665503  31.79
AUS      1921-1929     45-49     0.00812  0.03982  2.58   81413    3242  399229  2252151  27.66
AUS      1921-1929     50-54     0.01112  0.05417  2.60   78171    4235  380694  1852922  23.70
AUS      1921-1929     55-59     0.01559  0.07518  2.63   73936    5558  356497  1472228  19.91
AUS      1921-1929     60-64     0.02380  0.11266  2.63   68378    7703  323645  1115731  16.32
AUS      1921-1929     65-69     0.03650  0.16750  2.55   60675   10163  278444   792086  13.05
AUS      1921-1929     70-74     0.05691  0.25034  2.60   50512   12645  222206   513642  10.17
AUS      1921-1929     75-79     0.09287  0.37589  2.47   37867   14234  153264   291435   7.70
AUS      1921-1929     80-84     0.13497  0.50085  2.43   23633   11837   87699   138171   5.85
AUS      1921-1929     85-89     0.21104  0.66168  2.18   11796    7805   36985    50472   4.28
AUS      1921-1929     90-94     0.27277  0.75455  2.04    3991    3011   11040    13487   3.38
AUS      1921-1929     95-99     0.38828  0.87224  1.84     980     854    2201     2447   2.50
AUS      1921-1929    100-104    0.50184  0.93180  1.63     125     117     232      246   1.97
AUS      1921-1929    105-109    0.61527  0.96368  1.44       9       8      13       14   1.62
AUS      1921-1929    110+       0.70293  1.00000  1.42       0       0       0        0   1.42
AUS      1930-1939        0      0.04224  0.04083  0.19  100000    4083   96675  6533680  65.34
AUS      1930-1939      1-4      0.00377  0.01494  1.47   95917    1433  380041  6437005  67.11
AUS      1930-1939      5-9      0.00135  0.00674  2.25   94484     637  470666  6056964  64.11
AUS      1930-1939     10-14     0.00105  0.00523  2.59   93847     491  468049  5586298  59.53
AUS      1930-1939     15-19     0.00159  0.00792  2.74   93356     740  465104  5118249  54.83
AUS      1930-1939     20-24     0.00223  0.01111  2.57   92616    1029  460583  4653145  50.24
AUS      1930-1939     25-29     0.00259  0.01287  2.55   91587    1179  455051  4192562  45.78
AUS      1930-1939     30-34     0.00292  0.01449  2.58   90408    1310  448869  3737511  41.34
AUS      1930-1939     35-39     0.00380  0.01883  2.60   89098    1677  441470  3288642  36.91
AUS      1930-1939     40-44     0.00480  0.02371  2.60   87421    2072  432131  2847172  32.57
AUS      1930-1939     45-49     0.00691  0.03399  2.64   85348    2901  419883  2415040  28.30
AUS      1930-1939     50-54     0.01005  0.04909  2.66   82447    4047  402754  1995158  24.20
AUS      1930-1939     55-59     0.01464  0.07078  2.65   78400    5549  378937  1592404  20.31
AUS      1930-1939     60-64     0.02227  0.10584  2.66   72851    7711  346174  1213467  16.66
AUS      1930-1939     65-69     0.03498  0.16130  2.59   65140   10507  300372   867293  13.31
AUS      1930-1939     70-74     0.05479  0.24228  2.61   54633   13236  241572   566921  10.38
AUS      1930-1939     75-79     0.08959  0.36569  2.49   41396   15138  168982   325350   7.86
AUS      1930-1939     80-84     0.13149  0.49302  2.46   26258   12946   98457   156368   5.96
AUS      1930-1939     85-89     0.20474  0.65296  2.23   13312    8692   42456    57912   4.35
AUS      1930-1939     90-94     0.27471  0.76069  2.07    4620    3514   12793    15456   3.35
AUS      1930-1939     95-99     0.40339  0.88350  1.82    1106     977    2421     2663   2.41
AUS      1930-1939    100-104    0.52766  0.94160  1.59     129     121     230      241   1.87
AUS      1930-1939    105-109    0.64881  0.97024  1.39       8       7      11       12   1.54
AUS      1930-1939    110+       0.73967  1.00000  1.35       0       0       0        0   1.35
AUS      1940-1949        0      0.03339  0.03247  0.15  100000    3247   97254  6753951  67.54
AUS      1940-1949      1-4      0.00235  0.00934  1.52   96753     904  384770  6656697  68.80
AUS      1940-1949      5-9      0.00098  0.00490  2.28   95849     470  477963  6271927  65.44
AUS      1940-1949     10-14     0.00081  0.00404  2.55   95379     386  475948  5793964  60.75
AUS      1940-1949     15-19     0.00117  0.00582  2.64   94993     552  473662  5318015  55.98
AUS      1940-1949     20-24     0.00145  0.00723  2.58   94441     683  470550  4844353  51.30
AUS      1940-1949     25-29     0.00168  0.00837  2.58   93758     785  466892  4373803  46.65
AUS      1940-1949     30-34     0.00201  0.01002  2.59   92973     931  462620  3906911  42.02
AUS      1940-1949     35-39     0.00273  0.01358  2.63   92041    1250  457248  3444291  37.42
AUS      1940-1949     40-44     0.00391  0.01938  2.66   90791    1760  449832  2987043  32.90
AUS      1940-1949     45-49     0.00614  0.03026  2.68   89031    2694  438903  2537211  28.50
AUS      1940-1949     50-54     0.00946  0.04629  2.68   86337    3997  422421  2098309  24.30
