Life tables (period 5x10), Females 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
AUS      1921-1929        0      0.05089  0.04901  0.24  100000    4901   96296  6466473  64.66
AUS      1921-1929      1-4      0.00474  0.01871  1.37   95099    1779  375716  6370177  66.98
AUS      1921-1929      5-9      0.00145  0.00721  2.25   93320     673  464753  5994460  64.24
AUS      1921-1929     10-14     0.00110  0.00551  2.59   92647     510  462003  5529708  59.69
AUS      1921-1929     15-19     0.00174  0.00865  2.80   92137     797  458926  5067705  55.00
AUS      1921-1929     20-24     0.00280  0.01393  2.63   91339    1272  453680  4608779  50.46
AUS      1921-1929     25-29     0.00337  0.01669  2.54   90067    1504  446642  4155099  46.13
AUS      1921-1929     30-34     0.00375  0.01860  2.56   88564    1647  438804  3708457  41.87
AUS      1921-1929     35-39     0.00464  0.02294  2.57   86917    1994  429747  3269653  37.62
AUS      1921-1929     40-44     0.00519  0.02563  2.56   84923    2177  419305  2839906  33.44
AUS      1921-1929     45-49     0.00676  0.03328  2.60   82746    2754  407125  2420601  29.25
AUS      1921-1929     50-54     0.00913  0.04466  2.63   79992    3573  391476  2013476  25.17
AUS      1921-1929     55-59     0.01270  0.06166  2.65   76419    4712  371014  1622000  21.23
AUS      1921-1929     60-64     0.01935  0.09259  2.67   71707    6640  343080  1250986  17.45
AUS      1921-1929     65-69     0.03067  0.14275  2.58   65067    9288  302868   907906  13.95
AUS      1921-1929     70-74     0.04942  0.22131  2.64   55779   12345  249765   605038  10.85
AUS      1921-1929     75-79     0.08331  0.34475  2.50   43435   14974  179738   355273   8.18
AUS      1921-1929     80-84     0.12418  0.47225  2.46   28461   13441  108232   175535   6.17
AUS      1921-1929     85-89     0.19952  0.64067  2.21   15020    9623   48231    67303   4.48
AUS      1921-1929     90-94     0.25660  0.73309  2.08    5397    3957   15419    19072   3.53
AUS      1921-1929     95-99     0.38152  0.86793  1.86    1441    1250    3277     3653   2.54
AUS      1921-1929    100-104    0.49963  0.93136  1.63     190     177     355      376   1.97
AUS      1921-1929    105-109    0.61846  0.96460  1.43      13      13      20       21   1.61
AUS      1921-1929    110+       0.71067  1.00000  1.41       0       0       1        1   1.41
AUS      1930-1939        0      0.03710  0.03602  0.19  100000    3602   97085  6742089  67.42
AUS      1930-1939      1-4      0.00352  0.01395  1.46   96398    1345  382182  6645004  68.93
AUS      1930-1939      5-9      0.00116  0.00579  2.21   95054     550  473731  6262822  65.89
AUS      1930-1939     10-14     0.00085  0.00425  2.54   94503     401  471528  5789091  61.26
AUS      1930-1939     15-19     0.00134  0.00667  2.79   94102     627  469123  5317563  56.51
AUS      1930-1939     20-24     0.00206  0.01027  2.64   93475     960  465104  4848441  51.87
AUS      1930-1939     25-29     0.00261  0.01299  2.58   92514    1202  459658  4383337  47.38
AUS      1930-1939     30-34     0.00292  0.01450  2.56   91312    1324  453329  3923679  42.97
AUS      1930-1939     35-39     0.00365  0.01810  2.59   89988    1629  446019  3470349  38.56
AUS      1930-1939     40-44     0.00429  0.02121  2.58   88360    1874  437262  3024331  34.23
AUS      1930-1939     45-49     0.00594  0.02928  2.63   86486    2532  426426  2587069  29.91
AUS      1930-1939     50-54     0.00827  0.04058  2.66   83954    3407  411812  2160643  25.74
AUS      1930-1939     55-59     0.01152  0.05607  2.66   80547    4516  392187  1748831  21.71
AUS      1930-1939     60-64     0.01794  0.08611  2.68   76031    6547  364944  1356643  17.84
AUS      1930-1939     65-69     0.02930  0.13699  2.63   69484    9518  324818   991700  14.27
AUS      1930-1939     70-74     0.04718  0.21234  2.65   59966   12733  269889   666882  11.12
AUS      1930-1939     75-79     0.07958  0.33246  2.53   47232   15703  197315   396993   8.41
AUS      1930-1939     80-84     0.11838  0.45642  2.49   31529   14391  121568   199678   6.33
AUS      1930-1939     85-89     0.19114  0.62731  2.26   17139   10751   56248    78109   4.56
AUS      1930-1939     90-94     0.26694  0.75234  2.10    6387    4805   18002    21861   3.42
AUS      1930-1939     95-99     0.39739  0.88019  1.84    1582    1392    3504     3859   2.44
AUS      1930-1939    100-104    0.52737  0.94193  1.59     190     179     339      355   1.87
AUS      1930-1939    105-109    0.65475  0.97148  1.38      11      11      16       17   1.52
AUS      1930-1939    110+       0.75056  1.00000  1.33       0       0       0        0   1.33
AUS      1940-1949        0      0.02933  0.02863  0.16  100000    2863   97597  6977264  69.77
AUS      1940-1949      1-4      0.00212  0.00845  1.50   97137     820  386497  6879667  70.82
AUS      1940-1949      5-9      0.00083  0.00412  2.27   96317     397  480499  6493170  67.41
AUS      1940-1949     10-14     0.00064  0.00321  2.53   95920     308  478838  6012671  62.68
AUS      1940-1949     15-19     0.00086  0.00431  2.69   95612     412  477107  5533834  57.88
AUS      1940-1949     20-24     0.00130  0.00649  2.62   95200     618  474527  5056727  53.12
AUS      1940-1949     25-29     0.00170  0.00847  2.60   94582     801  470982  4582199  48.45
AUS      1940-1949     30-34     0.00201  0.01001  2.57   93781     939  466623  4111217  43.84
AUS      1940-1949     35-39     0.00262  0.01304  2.59   92842    1211  461291  3644594  39.26
AUS      1940-1949     40-44     0.00352  0.01744  2.63   91631    1598  454368  3183302  34.74
AUS      1940-1949     45-49     0.00519  0.02566  2.68   90033    2310  444802  2728935  30.31
AUS      1940-1949     50-54     0.00768  0.03771  2.67   87723    3308  430923  2284133  26.04
AUS      1940-1949     55-59     0.01086  0.05297  2.67   84415    4471  411641  1853210  21.95
AUS      1940-1949     60-64     0.01711  0.08230  2.68   79944    6579  384452  1441569  18.03
AUS      1940-1949     65-69     0.02773  0.13013  2.64   73364    9547  344324  1057118  14.41
AUS      1940-1949     70-74     0.04661  0.20997  2.64   63817   13400  287481   712793  11.17
AUS      1940-1949     75-79     0.07782  0.32648  2.53   50417   16460  211511   425312   8.44
AUS      1940-1949     80-84     0.11900  0.45840  2.50   33957   15566  130807   213801   6.30
AUS      1940-1949     85-89     0.19240  0.63059  2.27   18391   11597   60279    82994   4.51
AUS      1940-1949     90-94     0.27476  0.76552  2.11    6794    5201   18929    22716   3.34
AUS      1940-1949     95-99     0.40863  0.88782  1.82    1593    1414    3461     3787   2.38
AUS      1940-1949    100-104    0.54264  0.94691  1.56     179     169     312      326   1.82
AUS      1940-1949    105-109    0.67190  0.97420  1.36       9       9      14       14   1.48
AUS      1940-1949    110+       0.76754  1.00000  1.30       0       0       0        0   1.30
AUS      1950-1959        0      0.02042  0.02006  0.13  100000    2006   98247  7285709  72.86
AUS      1950-1959      1-4      0.00129  0.00513  1.48   97994     503  390711  7187462  73.35
AUS      1950-1959      5-9      0.00046  0.00230  2.24   97491     225  486837  6796751  69.72
AUS      1950-1959     10-14     0.00039  0.00195  2.54   97267     190  485865  6309914  64.87
AUS      1950-1959     15-19     0.00057  0.00284  2.65   97077     275  484737  5824048  59.99
AUS      1950-1959     20-24     0.00070  0.00351  2.55   96802     340  483176  5339312  55.16
AUS      1950-1959     25-29     0.00086  0.00428  2.58   96462     413  481311  4856135  50.34
AUS      1950-1959     30-34     0.00116  0.00578  2.66   96049     555  478944  4374824  45.55
AUS      1950-1959     35-39     0.00174  0.00866  2.71   95494     827  475571  3895881  40.80
AUS      1950-1959     40-44     0.00261  0.01296  2.64   94666    1226  470433  3420310  36.13
AUS      1950-1959     45-49     0.00418  0.02072  2.70   93440    1936  462744  2949877  31.57
AUS      1950-1959     50-54     0.00630  0.03102  2.67   91504    2839  450907  2487133  27.18
AUS      1950-1959     55-59     0.00926  0.04531  2.68   88665    4017  433994  2036226  22.97
AUS      1950-1959     60-64     0.01466  0.07091  2.70   84647    6002  409415  1602232  18.93
AUS      1950-1959     65-69     0.02412  0.11414  2.65   78645    8977  372140  1192817  15.17
AUS      1950-1959     70-74     0.04087  0.18651  2.66   69668   12994  317940   820677  11.78
AUS      1950-1959     75-79     0.06992  0.29882  2.57   56675   16936  242225   502737   8.87
AUS      1950-1959     80-84     0.11083  0.43488  2.53   39739   17282  155927   260513   6.56
AUS      1950-1959     85-89     0.18369  0.61272  2.28   22457   13760   74910   104585   4.66
AUS      1950-1959     90-94     0.26777  0.75592  2.12    8697    6574   24552    29676   3.41
AUS      1950-1959     95-99     0.40165  0.88379  1.83    2123    1876    4671     5124   2.41
AUS      1950-1959    100-104    0.53929  0.94616  1.57     247     233     433      452   1.83
AUS      1950-1959    105-109    0.67242  0.97440  1.36      13      13      19       20   1.48
AUS      1950-1959    110+       0.77058  1.00000  1.30       0       0       0        0   1.30
AUS      1960-1969        0      0.01686  0.01661  0.11  100000    1661   98529  7428738  74.29
AUS      1960-1969      1-4      0.00090  0.00360  1.55   98339     354  392489  7330209  74.54
AUS      1960-1969      5-9      0.00036  0.00181  2.25   97985     177  489437  6937720  70.80
AUS      1960-1969     10-14     0.00028  0.00138  2.63   97808     135  488717  6448282  65.93
AUS      1960-1969     15-19     0.00054  0.00268  2.72   97673     261  487766  5959565  61.02
AUS      1960-1969     20-24     0.00060  0.00301  2.51   97411     293  486325  5471799  56.17
AUS      1960-1969     25-29     0.00070  0.00349  2.64   97118     339  484791  4985475  51.33
AUS      1960-1969     30-34     0.00094  0.00470  2.69   96779     455  482843  4500683  46.50
AUS      1960-1969     35-39     0.00150  0.00747  2.69   96324     720  479958  4017840  41.71
AUS      1960-1969     40-44     0.00231  0.01148  2.66   95604    1097  475450  3537882  37.01
AUS      1960-1969     45-49     0.00374  0.01855  2.71   94507    1753  468522  3062432  32.40
AUS      1960-1969     50-54     0.00575  0.02838  2.69   92753    2632  457696  2593910  27.97
AUS      1960-1969     55-59     0.00852  0.04176  2.68   90121    3763  441866  2136213  23.70
AUS      1960-1969     60-64     0.01362  0.06600  2.68   86358    5700  418544  1694348  19.62
AUS      1960-1969     65-69     0.02196  0.10441  2.66   80659    8422  383563  1275804  15.82
AUS      1960-1969     70-74     0.03733  0.17180  2.68   72237   12410  332424   892241  12.35
AUS      1960-1969     75-79     0.06377  0.27629  2.58   59827   16530  259200   559817   9.36
AUS      1960-1969     80-84     0.10227  0.40844  2.54   43297   17684  172922   300617   6.94
AUS      1960-1969     85-89     0.16636  0.57599  2.33   25613   14753   88679   127695   4.99
AUS      1960-1969     90-94     0.25282  0.73643  2.17   10860    7998   31634    39016   3.59
AUS      1960-1969     95-99     0.37328  0.86364  1.89    2862    2472    6623     7382   2.58
AUS      1960-1969    100-104    0.50707  0.93536  1.63     390     365     720      759   1.95
AUS      1960-1969    105-109    0.64089  0.96939  1.40      25      24      38       39   1.55
AUS      1960-1969    110+       0.74234  1.00000  1.35       1       1       1        1   1.35
AUS      1970-1979        0      0.01304  0.01290  0.12  100000    1290   98868  7608911  76.09
AUS      1970-1979      1-4      0.00066  0.00265  1.58   98710     262  394208  7510043  76.08
AUS      1970-1979      5-9      0.00029  0.00142  2.31   98449     140  491866  7115835  72.28
AUS      1970-1979     10-14     0.00024  0.00120  2.68   98308     118  491268  6623969  67.38
AUS      1970-1979     15-19     0.00054  0.00269  2.74   98190     264  490354  6132701  62.46
AUS      1970-1979     20-24     0.00055  0.00274  2.50   97926     268  488960  5642346  57.62
AUS      1970-1979     25-29     0.00056  0.00281  2.56   97658     274  487621  5153386  52.77
AUS      1970-1979     30-34     0.00078  0.00387  2.66   97384     377  486038  4665765  47.91
AUS      1970-1979     35-39     0.00123  0.00613  2.72   97007     595  483678  4179727  43.09
AUS      1970-1979     40-44     0.00199  0.00991  2.72   96412     955  479887  3696049  38.34
AUS      1970-1979     45-49     0.00327  0.01625  2.70   95457    1551  473710  3216162  33.69
AUS      1970-1979     50-54     0.00503  0.02486  2.66   93906    2334  464066  2742452  29.20
AUS      1970-1979     55-59     0.00765  0.03757  2.67   91572    3440  449851  2278386  24.88
AUS      1970-1979     60-64     0.01189  0.05783  2.67   88132    5097  428774  1828534  20.75
AUS      1970-1979     65-69     0.01876  0.08987  2.67   83035    7463  397800  1399761  16.86
AUS      1970-1979     70-74     0.03166  0.14745  2.67   75572   11143  351936  1001961  13.26
AUS      1970-1979     75-79     0.05465  0.24160  2.60   64429   15566  284844   650025  10.09
AUS      1970-1979     80-84     0.09086  0.37166  2.55   48863   18161  199864   365181   7.47
AUS      1970-1979     85-89     0.15060  0.53936  2.37   30702   16559  109960   165317   5.38
AUS      1970-1979     90-94     0.22679  0.69542  2.22   14143    9835   43368    55357   3.91
AUS      1970-1979     95-99     0.34254  0.83816  1.95    4308    3610   10540    11989   2.78
AUS      1970-1979    100-104    0.47257  0.92153  1.69     697     642    1359     1449   2.08
AUS      1970-1979    105-109    0.60724  0.96302  1.45      55      53      87       90   1.64
AUS      1970-1979    110+       0.71207  1.00000  1.40       2       2       3        3   1.40
AUS      1980-1989        0      0.00832  0.00826  0.13  100000     826   99283  7890641  78.91
AUS      1980-1989      1-4      0.00043  0.00170  1.56   99174     169  396281  7791358  78.56
AUS      1980-1989      5-9      0.00018  0.00092  2.36   99004      91  494781  7395077  74.69
AUS      1980-1989     10-14     0.00017  0.00086  2.65   98913      85  494367  6900296  69.76
AUS      1980-1989     15-19     0.00041  0.00204  2.78   98829     202  493694  6405928  64.82
AUS      1980-1989     20-24     0.00050  0.00248  2.49   98627     245  492517  5912235  59.95
AUS      1980-1989     25-29     0.00049  0.00245  2.55   98382     241  491317  5419717  55.09
AUS      1980-1989     30-34     0.00057  0.00286  2.61   98141     281  490032  4928401  50.22
AUS      1980-1989     35-39     0.00084  0.00417  2.70   97859     408  488358  4438369  45.35
AUS      1980-1989     40-44     0.00136  0.00679  2.71   97451     662  485740  3950011  40.53
AUS      1980-1989     45-49     0.00230  0.01144  2.68   96790    1107  481380  3464271  35.79
